pathway,k,z_meta,delta_mean,concord,P_meta,FDR_meta
GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS,3,-3.05219600614991,-0.0113527537744955,0.333333333333333,0.00227173706423525,0.0819241100496671
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,3,-3.05179918987671,-0.029704196564355,0.666666666666667,0.00227474224409122,0.0819241100496671
GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION_OF_STAT_PROTEIN,3,3.04944087578943,0.103437668369493,1,0.00229267755691271,0.0819241100496671
GOBP_REGULATION_OF_PROTEIN_SUMOYLATION,3,-3.04660811188041,-0.0623281537827403,0.666666666666667,0.00231439233229712,0.0819241100496671
GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION,3,-3.04574675667331,-0.0246753015098169,0.666666666666667,0.00232103236835513,0.0819241100496671
REACTOME_SIGNALING_BY_FLT3_ITD_AND_TKD_MUTANTS,3,-3.04473687611085,-0.0687346357477053,0.666666666666667,0.00232883957695705,0.0819241100496671
GOBP_CHROMOSOME_LOCALIZATION,3,-3.04176096286617,-0.142485104258538,1,0.00235198590024598,0.0821755073718597
GOBP_POSITIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_INITIATION,3,-3.03799232406308,-0.127829506598176,1,0.00238160020980023,0.0823052791179379
REACTOME_RND3_GTPASE_CYCLE,3,-3.03721503747221,-0.129516606469456,1,0.0023877505040056,0.0823052791179379
GOBP_POSITIVE_REGULATION_OF_BLOOD_PRESSURE,3,3.0296082505203,0.156509444892222,1,0.00244871133040825,0.0834592521062757
GOBP_POSITIVE_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,3,3.02899000451781,0.0866072751723776,1,0.00245372801169152,0.0834592521062757
GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,3,3.02184381162077,0.0934575632740113,1,0.00251240145988657,0.0845203070577732
KEGG_PHENYLALANINE_METABOLISM,3,3.02118962429413,0.186383459935572,1,0.00251783624996871,0.0845203070577732
GOBP_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE,3,-3.01750532985494,-0.0732186010086379,1,0.00254864559216928,0.0846235047992773
GOBP_SNO_S_RNA_METABOLIC_PROCESS,2,-3.01688538337951,-0.316232533407202,1,0.00255386355994704,0.0846235047992773
GOBP_SPECIFICATION_OF_ANIMAL_ORGAN_IDENTITY,3,3.00959759701394,0.152081452094235,1,0.00261594018522903,0.0861247999444633
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT,3,-3.00292715590782,0.0381835810021655,0.666666666666667,0.00267396426426095,0.0863462756381901
GOBP_REGULATION_OF_ORGANELLE_ASSEMBLY,3,-3.00205377795398,-0.0749307335331101,0.666666666666667,0.00268164797653242,0.0863462756381901
GOBP_NADP_METABOLIC_PROCESS,3,-3.00193163308802,-0.0941038962245605,1,0.0026827241765308,0.0863462756381901
REACTOME_RHOV_GTPASE_CYCLE,3,-3.00111663292433,-0.139284994088372,1,0.00268991512891558,0.0863462756381901
GOBP_RETINAL_METABOLIC_PROCESS,2,-2.9906890776922,-0.202586849756738,1,0.00278348747984886,0.0874978741868613
GOBP_POSITIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,3,-2.99020419845236,-0.0623930998249711,1,0.00278791005901427,0.0874978741868613
GOBP_REGULATION_OF_T_HELPER_17_CELL_DIFFERENTIATION,2,2.99018156781915,0.253557226810104,1,0.00278811662948721,0.0874978741868613
GOBP_REGULATION_OF_CYTOPLASMIC_TRANSPORT,3,-2.98839905175984,-0.0853454671571977,0.666666666666667,0.00280443126487579,0.0874978741868613
GOBP_BRANCHING_INVOLVED_IN_MAMMARY_GLAND_DUCT_MORPHOGENESIS,3,2.98768714021676,0.196233198334312,1,0.00281097142539566,0.0874978741868613
GOBP_B_CELL_HOMEOSTASIS,3,-2.9835481634851,-0.013670869246931,0.333333333333333,0.00284927188073044,0.0876536420622307
GOBP_SISTER_CHROMATID_COHESION,3,-2.98345830138467,-0.196598662988892,1,0.00285010868854995,0.0876536420622307
GOBP_NEGATIVE_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION,3,2.97891409508037,0.001834380364714,0.666666666666667,0.00289271865671411,0.0884345417909742
GOBP_ER_NUCLEUS_SIGNALING_PATHWAY,3,-2.97030673753332,-0.146087334073815,1,0.00297502531073553,0.0889864851717681
HALLMARK_ESTROGEN_RESPONSE_LATE,3,-2.97016406147291,-0.00415449090746316,0.666666666666667,0.00297640745518029,0.0889864851717681
GOBP_VASCULOGENESIS,3,-2.96854920009738,-0.0126105181323272,0.666666666666667,0.00299209197916482,0.0889864851717681
GOBP_TONGUE_DEVELOPMENT,2,-2.96697862321897,-0.231918764638092,1,0.00300741867910288,0.0889864851717681
GOBP_CYTOPLASMIC_MICROTUBULE_ORGANIZATION,3,-2.9667864177366,-0.0624996165827659,0.666666666666667,0.00300929925439155,0.0889864851717681
