pathway,z_OA,FDR_OA,z_MSC,FDR_MSC,same_dir,score
GOBP_NCRNA_CATABOLIC_PROCESS,-3.87168186180839,0.00218250901890705,-1.88829805466878,0.300008243627032,TRUE,2.538512089959
GOBP_STRESS_GRANULE_ASSEMBLY,-2.19309241059256,0.102045109346239,-2.99900951021866,0.10619321097242,TRUE,2.53350380884967
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS,2.12466512728025,0.114547582149826,3.12569121183659,0.0890665973803,TRUE,2.52975100640603
GOBP_REGULATION_OF_BONE_RESORPTION,1.83883953403616,0.183523695962477,4.02455908323274,0.0416276724688811,TRUE,2.52431015947531
GOBP_MEGAKARYOCYTE_DIFFERENTIATION,-2.9311252437549,0.023627794721593,-2.21204135699844,0.223005016417273,TRUE,2.52131449942853
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,-3.24041748373149,0.011683610698313,-2.05919510685691,0.257619356704775,TRUE,2.51816588953067
GOBP_HISTONE_H2A_MONOUBIQUITINATION,-2.30690925725556,0.0834775356349552,-2.75367467240501,0.125037116367193,TRUE,2.51057098609068
REACTOME_FGFR2_LIGAND_BINDING_AND_ACTIVATION,2.76205504727815,0.0336082212407997,2.28649216384946,0.206240838734121,TRUE,2.50187507717166
GOBP_NEGATIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS,-3.90972731675053,0.00192619227789271,-1.83341036350928,0.315930590838691,TRUE,2.4962433359952
GOBP_ADULT_LOCOMOTORY_BEHAVIOR,2.81680788482831,0.0298737645325894,2.22214930593184,0.221373856858645,TRUE,2.48439010265547
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,5.56672878393485,5.56877044525257e-06,1.59513213041778,0.39548446356381,TRUE,2.47970968740284
GOBP_SNO_S_RNA_METABOLIC_PROCESS,-2.42888087845835,0.0664827098042495,-2.52871517599569,0.156685104517375,TRUE,2.47779281352513
REACTOME_SUMOYLATION_OF_RNA_BINDING_PROTEINS,-2.67492931711096,0.0411617156752528,-2.28819227937151,0.206240838734121,TRUE,2.46649311014898
GOBP_RNA_PHOSPHODIESTER_BOND_HYDROLYSIS_EXONUCLEOLYTIC,-2.3454243973389,0.0776658509926314,-2.59502251276702,0.147974141388155,TRUE,2.46391843646266
REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS,2.28843859973646,0.0860579338556389,2.66680079587518,0.139553612046791,TRUE,2.46317458829268
GOBP_PROTEIN_K48_LINKED_DEUBIQUITINATION,-2.19615138610448,0.101537663913209,-2.80166353077294,0.124593100539442,TRUE,2.46222693270507
REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,-2.29321378509866,0.0852905607648187,-2.64762863667007,0.141634263221091,TRUE,2.45770982724855
GOBP_COLLECTING_DUCT_DEVELOPMENT,2.29709595092237,0.0849757216860566,2.62038863071752,0.142403614822654,TRUE,2.44811509361435
GOBP_GLYCOSPHINGOLIPID_METABOLIC_PROCESS,2.3475624199343,0.0774058411518998,2.54972670976233,0.153805212052963,TRUE,2.44447180732887
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,5.85616813911302,1.7420857363627e-06,1.54210103787808,0.410374577871957,TRUE,2.44132857274263
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT,3.54590275366974,0.00547459826552679,1.85698061252918,0.307627880524672,TRUE,2.4374661532296
