gene,meta_Z,meta_P,meta_FDR,mean_logFC,n_consistent
SPTBN5,1.53423832823537,0.124971031564085,0.455458847901859,-0.25848879005852,2
PACSIN2,1.53416832053417,0.124988249024005,0.455458847901859,-0.025876199751275,2
RPLP0,1.53409064059175,0.125007355533702,0.455458847901859,-0.0292850702864155,2
STAT3,1.53407292357456,0.125011713610206,0.455458847901859,0.236070269545696,3
NMB,1.53405437838147,0.12501627553039,0.455458847901859,0.272232482210852,3
CTSG,-1.53342201172714,0.125171908677939,0.455898468506046,-0.0603218674292862,2
GAL3ST1,1.53323632061368,0.125217638200459,0.455937666712032,0.0236759078770511,2
AKIRIN1,-1.53297052169812,0.125283118260386,0.456048737855156,-0.146837487603129,2
ETS2,1.53249071180188,0.125401387895906,0.456318032815666,-0.225013291943625,2
CYFIP2,-1.53236431198548,0.125432559003834,0.456318032815666,0.180482960764654,2
PSME1,1.53224459909152,0.125462086635797,0.456318032815666,0.130319987300679,3
EGLN1,-1.53114868213722,0.125732650484038,0.457174576034962,-0.224054862943888,2
ADM,1.53054684174113,0.125881428224851,0.45758794051403,0.514649141285991,3
FBP2,-1.53021551625716,0.125963391936172,0.457703961015772,0.207413268693223,2
AGPS,-1.52998097595778,0.126021437933554,0.457703961015772,-0.366755281587578,2
PRR11,-1.52994158425174,0.126031188966044,0.457703961015772,-0.194364105362781,3
AZIN1,1.52985042839114,0.126053755963466,0.457703961015772,0.0601870383553381,2
CEBPG,-1.52944434726045,0.12615432566754,0.457823099020241,-0.226266491863903,2
RAMP1,-1.52929658031828,0.12619093700497,0.457823099020241,0.178729216780197,2
PKD1P1,1.52929268357211,0.126191902590593,0.457823099020241,0.177676936731327,3
GP2,-1.52904252723239,0.126253901571593,0.457920618245342,-0.740764459482102,2
MUC16,1.5288017174839,0.126313606490984,0.457945450582834,0.0136538846335132,2
MKKS,1.52870465682863,0.126337677341575,0.457945450582834,-0.0555438815689388,2
ING3,-1.52859001956548,0.126366111756809,0.457945450582834,-0.154606012125362,2
CUL5,-1.52796261092835,0.126521821317824,0.45838233624982,-0.169978724573894,2
DMP1,-1.5277916099648,0.126564286037586,0.458408812678911,0.165601798943887,2
KLHL11,-1.5274596757026,0.126646747045069,0.45857852623528,-0.23924080710558,2
GOT1,1.527319903403,0.126681482590649,0.45857852623528,0.174024971529342,3
CLDN10,1.52698092074709,0.126765755748892,0.458703725561366,0.12851986370584,3
CDC5L,1.5268977973091,0.126786427404185,0.458703725561366,-0.00944179532147905,2
TRIB2,-1.52659030435379,0.126862919478492,0.458853150368947,0.103438496351631,2
NR6A1,1.52586302800638,0.127043979988335,0.459370051811308,-0.0211823360259155,2
B3GALNT1,-1.52573332160188,0.127076292421458,0.459370051811308,-0.168940437148033,2
COG7,1.52512489773207,0.12722794822108,0.459675231173626,0.134608107111074,2
RYR2,-1.52511176823265,0.127231222433133,0.459675231173626,-0.651503627270496,3
HSD17B3,1.52483798309219,0.127299513441284,0.459794558382521,0.422610421644761,3
RPL29,1.52460847961265,0.127356781118948,0.459874015233997,0.0463412491319986,3
OSM,-1.52416034762231,0.127468660635647,0.460031685759646,-0.175417333783996,2
P2RX5,1.52403773663753,0.127499284706261,0.460031685759646,-0.027660777565795,2
H2AC13,1.52400969335729,0.127506289771866,0.460031685759646,0.456444916183966,3
CDC42SE1,-1.52382071219116,0.127553504091878,0.460074727483818,-0.334459452590913,2
OR2H2,1.52355945747725,0.127618797348324,0.460089237523127,0.233157431456295,3
ASMT,-1.52352225098947,0.127628098176329,0.460089237523127,-0.490326951684327,2
SPIN2A,1.5230243317411,0.127752618110002,0.460410831270401,-0.214787267698389,2
TUB,1.52278164522855,0.12781334353254,0.460502400199168,0.188835145016023,3
STK38L,-1.5226265210478,0.127852170721537,0.460515042551967,-0.552518463035404,3
OLIG2,-1.52243919405162,0.127899070419273,0.46055674653325,0.0819171436596164,2
NFE2,-1.52151719083272,0.128130100656632,0.461261287261684,-0.183773504035484,2
USP34,-1.5207735129917,0.128316683439856,0.461805474847442,-0.176774984974991,2
TACR1,1.52037074704211,0.128417822305301,0.462005998370044,-0.0725978407085783,2
UBN1,1.51991290392645,0.128532866879756,0.462005998370044,-0.225244998009957,2
PEX11B,-1.51987940029454,0.128541288652443,0.462005998370044,-0.0784647996054277,2
