gene,meta_Z,meta_P,meta_FDR,mean_logFC,n_consistent
AURKAIP1,1.46936481501965,0.141733865348934,0.341972127205536,0.225859254250637,3
HIST1H2AK,-1.46896683540421,0.141841784822133,0.342054888970903,-0.12794649729769,2
ETS1,-1.46893680421712,0.141849930889952,0.342054888970903,-0.00480543478752304,2
DNLZ,1.46888802030322,0.141863164468584,0.342054888970903,0.169654970433575,4
HSPA5,-1.46852879718273,0.141960639880388,0.342213530905592,-0.223197372303833,2
WDR76,1.46836038191014,0.142006357175835,0.342247360600931,0.49640259286915,3
GAGE1,1.46796287503042,0.142114307548885,0.342431128740366,0.237570681248275,2
CX3CR1,1.46770811137581,0.142183526480513,0.342480086765316,0.700161590292007,3
TSFM,1.4676547190023,0.142198036395338,0.342480086765316,0.0731460637262313,2
PRPF4,-1.46735553748819,0.142279363020911,0.342599571857307,-0.0598655381082213,3
C1QA,1.46706595885161,0.142358113302285,0.342712801402113,1.18588797487248,3
RHD,1.46652169990011,0.14250621389746,0.342992897174768,0.245390746287919,3
KIF2A,-1.46634858590683,0.142553345461819,0.343029903693155,-0.177350929172801,3
HTR1D,1.46613298525474,0.142612061064337,0.343094762498211,0.20850159448618,2
SIRT1,-1.46558790482257,0.142760588338407,0.34322897223413,-0.132773212226045,3
SPRY2,-1.4655128076666,0.142781060631436,0.34322897223413,0.0180516166341825,2
REPS1,-1.46547721854536,0.142790763395874,0.34322897223413,-0.0164106696362036,2
WFS1,-1.46546187945058,0.142794945493444,0.34322897223413,-0.0781822067600537,2
NCR1,1.46522816061846,0.142858678937987,0.343305773056315,0.201854682593688,4
ALG11,1.46484568000368,0.142963025745297,0.343480116570441,0.170282002486765,4
NR6A1,1.46421157869223,0.143136147538257,0.343776902534771,0.141134988111208,4
STAU1,-1.46416011791284,0.143150204369691,0.343776902534771,-0.120927088169515,4
CGGBP1,1.46383648062865,0.143238632181878,0.343912803918347,0.0123871509919368,2
WDR62,-1.46323625336295,0.143402743944545,0.344230320019772,-0.210194212931414,3
FAM8A1,-1.46302295445437,0.143461098010543,0.344293885960872,-0.0687501965971075,3
TUBB1,1.4627562053136,0.143534100559542,0.344392570911634,0.378832603842548,3
BDH2,-1.46216927234745,0.143694829709255,0.344701654567927,-0.0380691238553619,4
HMMR,1.46189354578674,0.143770383917076,0.34479721661651,0.741608684279562,3
KCNK7,-1.4617909461161,0.143798505911626,0.34479721661651,-0.580257197567761,2
KCTD9,-1.461632372307,0.143841978401386,0.344824911382994,-0.235300294097559,3
