gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cohort,disease
USP19,-0.355110489211724,6.50780221102433,-3.2226782281355,0.00298877120409581,0.94624455191332,-3.69331986589475,GSE7158,OP
BLVRA,0.360859105086189,8.44228764811624,3.21252778127072,0.00306877395523292,0.94624455191332,-3.69842383491089,GSE7158,OP
RHAG,0.585671592137879,4.82017853013302,3.20951428498588,0.00309291690525451,0.94624455191332,-3.69993880930637,GSE7158,OP
LCAT,0.732372518520119,2.43238484224083,3.20217522689252,0.00315247639128491,0.94624455191332,-3.70362776424618,GSE7158,OP
NDRG3,-0.36408631720943,6.92210565075611,-3.19179012330119,0.00323863140453317,0.94624455191332,-3.70884628483454,GSE7158,OP
FSHR,-0.801659391271187,3.28146571594459,-3.19024368339902,0.00325165153969096,0.94624455191332,-3.70962321513874,GSE7158,OP
LAP3,0.446681267204347,9.26716053758593,3.18152155766783,0.00332602808397267,0.94624455191332,-3.71400442206508,GSE7158,OP
LGALS9,0.361342767585407,7.32298451009046,3.17196572564678,0.00340937786238516,0.94624455191332,-3.71880283880167,GSE7158,OP
PRKCE,0.97248733306613,4.16132304481702,3.16588570401741,0.00346344398115211,0.94624455191332,-3.72185501126641,GSE7158,OP
SBF2,0.257223185842198,7.29150484579769,3.1619157504153,0.00349918692202169,0.94624455191332,-3.7238475491785,GSE7158,OP
ANKH,-0.656004898104941,4.95507078258749,-3.15724007673896,0.0035417350434348,0.94624455191332,-3.72619389905016,GSE7158,OP
MDC1,-0.816035074126212,4.42243706336335,-3.15254810597097,0.00358492723981657,0.94624455191332,-3.72854799349419,GSE7158,OP
MSR1,0.733057710358034,4.85224608209502,3.14668927036299,0.00363956652735107,0.94624455191332,-3.73148691551151,GSE7158,OP
PLPP3,-0.658740097086196,4.56243868253383,-3.13601176102963,0.00374119268180971,0.94624455191332,-3.73684116947373,GSE7158,OP
LINC02753,-0.925058591107716,3.80075288252912,-3.13500682984195,0.00375089540955103,0.94624455191332,-3.73734497011654,GSE7158,OP
PLA2G7,0.44575090721763,6.93544104789102,3.1335159879755,0.00376533384520512,0.94624455191332,-3.73809233181686,GSE7158,OP
SERPINB5,-0.932694950168949,2.96611397117593,-3.129934784106,0.00380023361814681,0.94624455191332,-3.73988739999998,GSE7158,OP
PCDHGA8,-0.870573181371346,3.89002152075139,-3.12889731374418,0.00381040147204935,0.94624455191332,-3.74040737704548,GSE7158,OP
GLUL,0.324633511600915,10.2567385046397,3.12878159537549,0.00381153718915516,0.94624455191332,-3.74046537329001,GSE7158,OP
SLC6A18,-1.03405779873351,3.08336412650066,-3.120464471772,0.0038940153429357,0.94624455191332,-3.74463301249828,GSE7158,OP
ISL1,1.00001382292398,2.7351587033348,3.11601907288258,0.00393879308270789,0.94624455191332,-3.74685992873222,GSE7158,OP
DDX60,0.583237513642561,7.08275220312194,3.11404126483548,0.00395887239724595,0.94624455191332,-3.74785056431687,GSE7158,OP
C3,0.796327384154326,4.89112044444025,3.09423646196724,0.00416538253683991,0.94624455191332,-3.75776525373288,GSE7158,OP
TECTB,-0.667303635572412,4.85173792255997,-3.09316493977104,0.00417684290457477,0.94624455191332,-3.7583014112756,GSE7158,OP
ZWINT,-0.416346342262487,5.39974327640036,-3.09276639032887,0.00418111320062023,0.94624455191332,-3.75850082626523,GSE7158,OP
MAPT,0.560633468638025,4.79085978355914,3.09069745737344,0.00420334778815267,0.94624455191332,-3.75953595803975,GSE7158,OP
LINC01581,0.771443822017534,3.69241749047745,3.0866670929695,0.00424698494138692,0.94624455191332,-3.76155213154385,GSE7158,OP
PNPLA5,0.578460268014213,2.11609373574488,3.08419217109341,0.0042739942736002,0.94624455191332,-3.76278999987232,GSE7158,OP
TMEM98,0.775109683424639,2.46658778505116,3.0826768363695,0.00429061195483363,0.94624455191332,-3.76354784043537,GSE7158,OP
EPSTI1,0.572466880270574,7.78682179971627,3.07700926357977,0.00435957173307699,0.94624455191332,-3.76678762244767,GSE7158,OP
REG1A,-1.19125978058673,3.35131722803735,-3.06861724528164,0.00444775037628894,0.94624455191332,-3.77057643153042,GSE7158,OP
SERPING1,0.562472024256836,5.88201922503094,3.06284692946011,0.00451381261833699,0.94624455191332,-3.77345959464863,GSE7158,OP
NECTIN3,0.656327066368625,4.07959757520564,3.06267879011226,0.00451575148905082,0.94624455191332,-3.77354359284661,GSE7158,OP
GABRB1,1.04123860248266,2.91030612119471,3.06024336683227,0.0045439240205203,0.94624455191332,-3.77476018372459,GSE7158,OP
ETV4,-0.826617350371201,3.83436688510262,-3.05007173929599,0.00466340187786505,0.94624455191332,-3.77983956698266,GSE7158,OP
LOC285819,-1.09051511708139,3.72170426594525,-3.04693800411194,0.00470080825107445,0.94624455191332,-3.78140387603378,GSE7158,OP
MIR200CHG,-0.918102120584261,4.19892015214496,-3.03868505682796,0.00480068820892024,0.94624455191332,-3.78552228389799,GSE7158,OP
EPS8,-0.496198965005906,5.08903825273962,-3.03544477301499,0.00484045099320131,0.94624455191332,-3.78713872576833,GSE7158,OP
IFI35,0.494958018479279,6.98503712470202,3.02917382219605,0.0049182932645079,0.94624455191332,-3.79026617260941,GSE7158,OP
LOC105372404,1.05201270285357,3.07229699007974,3.02847153715591,0.00492708438527948,0.94624455191332,-3.79061634409747,GSE7158,OP
